Company Name,Total benchmark score,2018 rank,Country,Region,Market cap (US$bn),Year of inclusion,Theme 1: Commitment & Governance,Theme 2: Traceability & Risk Assessment,Theme 3: Purchasing Practices,Theme 4: Recruitment,Theme 5: Worker Voice,Theme 6: Monitoring,Theme 7: Remedy,1.1,1.2,1.3,1.4,1.5,1. Total,2.1,2.2,2. Total,3.1,3.2,3.3,3.4,3. Total,4.1,4.2,4.3,4.4,4. Total,5.1,5.2,5.3,5.4,5. Total,6.1,6.2,6. Total,7.1,7.2,7. Total,Benchmark rank 2016,"Benchmark score 2016
2016"
Intel Corporation,75,1,United States,North America,225,2016,96,88,61,86,23,90,81,100,80,100,100,100,96,75,100,88,45,50,50,100,61,45,100,100,100,86,50,0,0,40,23,100,80,90,87.5,75,81,3,59
HP Inc.,72,2,United States,North America,38,2016,96,81,81,84,38,80,44,100,80,100,100,100,96,87.5,75,81,75,100,50,100,81,75,75,100,87.5,84,75,12.5,12.5,50,38,80,80,80,87.5,0,44,1,72
Hewlett Packard Enterprise Company,71,3,United States,North America,26,2018,95,88,65,94,33,70,56,100,100,100,100,75,95,100,75,88,60,0,100,100,65,75,100,100,100,94,75,25,0,30,33,80,60,70,75,37.5,56,n/a,n/a
Apple Inc.,71,3,United States,North America,852,2016,84,75,45,76,58,90,69,100,70,75,100,75,84,75,75,75,30,0,50,100,45,30,100,100,75,76,50,100,12.5,70,58,100,80,90,100,37.5,69,2,62
NXP Semiconductors NV,63,5,Netherlands,Europe,41,2018,85,63,41,73,39,60,81,100,100,75,100,50,85,50,75,63,15,0,50,100,41,30,75,100,87.5,73,100,25,0,30,39,90,30,60,87.5,75,81,n/a,n/a
Samsung Electronics Co. Ltd.,62,6,South Korea,Asia,310,2016,90,31,86,76,43,60,50,100,100,75,100,75,90,12.5,50,31,45,100,100,100,86,30,75,100,100,76,100,0,0,70,43,70,50,60,62.5,37.5,50,7,54
Microsoft Corporation,61,7,United States,North America,732,2016,95,25,70,48,57,60,75,100,100,100,75,100,95,50,0,25,30,100,50,100,70,15,75,25,75,48,100,25,12.5,90,57,80,40,60,100,50,75,5,57
Taiwan Semiconductor Manufacturing Company Limited,53,8,Taiwan,Asia,227,2016,71,69,74,38,9,60,50,100,80,100,50,25,71,62.5,75,69,45,50,100,100,74,0,100,0,50,38,25,0,0,10,9,60,60,60,75,25,50,8,52
"Cisco Systems, Inc.",51,9,United States,North America,205,2016,81,56,58,38,20,70,38,100,80,75,75,75,81,37.5,75,56,30,50,50,100,58,0,75,25,50,38,50,0,0,30,20,100,40,70,75,0,38,4,58
QUALCOMM Incorporated,49,10,United States,North America,101,2016,66,69,66,31,21,50,38,100,80,50,75,25,66,62.5,75,69,15,50,100,100,66,0,75,0,50,31,50,12.5,0,20,21,60,40,50,75,0,38,11,42
Ericsson (Telefonaktiebolaget LM Ericsson (publ)),46,11,Sweden,Europe,21,2016,64,56,79,13,35,40,38,100,70,100,50,0,64,12.5,100,56,15,100,100,100,79,0,0,0,50,13,100,0,0,40,35,30,50,40,75,0,38,6,55
"Hitachi, Ltd.",39,12,Japan,Asia,38,2016,81,38,45,31,9,55,13,100,80,75,75,75,81,0,75,38,30,50,0,100,45,0,75,0,50,31,25,0,0,10,9,80,30,55,25,0,13,12,34
Texas Instruments Incorporated,38,13,United States,North America,108,2016,69,19,50,31,15,45,38,100,70,75,75,25,69,37.5,0,19,0,50,50,100,50,0,75,0,50,31,50,0,0,10,15,60,30,45,75,0,38,9,48
Nokia Corporation,38,13,Finland,Europe,27,2018,52,63,50,6,10,60,25,100,60,0,100,0,52,50,75,63,0,50,100,50,50,0,25,0,0,6,0,0,0,40,10,80,40,60,50,0,25,n/a,n/a
"Micron Technology, Inc.",37,15,United States,North America,51,2018,70,19,50,31,23,40,25,100,100,75,50,25,70,37.5,0,19,0,0,100,100,50,0,75,0,50,31,50,0,0,40,23,60,20,40,50,0,25,n/a,n/a
ASML Holding N.V.,36,16,Netherlands,Europe,87,2016,71,6,66,31,23,20,38,100,80,75,50,50,71,12.5,0,6,15,100,50,100,66,0,75,0,50,31,50,0,0,40,23,10,30,20,50,25,38,15,26
NVIDIA Corporation,35,17,United States,North America,149,2018,57,44,33,31,9,45,25,100,60,50,50,25,57,62.5,25,44,30,0,0,100,33,0,75,0,50,31,25,0,0,10,9,60,30,45,50,0,25,n/a,n/a
"Skyworks Solutions, Inc.",34,18,United States,North America,18,2018,46,31,38,31,13,40,38,100,80,0,25,25,46,62.5,0,31,0,0,50,100,38,0,75,0,50,31,50,0,0,0,13,60,20,40,75,0,38,n/a,n/a
"Foxconn (Hon Hai Precision Industry Co., Ltd.)",33,19,Taiwan,Asia,55,2016,61,6,54,31,21,35,25,100,80,50,50,25,61,12.5,0,6,15,50,50,100,54,0,75,0,50,31,75,0,0,10,21,60,10,35,50,0,25,14,29
"Amazon.com, Inc.",32,20,United States,North America,699,2018,54,25,25,39,15,40,25,100,70,25,50,25,54,50,0,25,0,0,50,50,25,30,50,25,50,39,50,0,0,10,15,80,0,40,50,0,25,n/a,n/a
Western Digital Corporation,30,21,United States,North America,26,2018,67,0,25,31,13,50,25,100,60,75,50,50,67,0,0,0,0,0,0,100,25,0,75,0,50,31,50,0,0,0,13,60,40,50,50,0,25,n/a,n/a
"Analog Devices, Inc.",28,22,United States,North America,34,2018,51,25,50,31,13,5,19,100,80,0,50,25,51,50,0,25,0,50,50,100,50,0,75,0,50,31,50,0,0,0,13,10,0,5,37.5,0,19,n/a,n/a
"Applied Materials, Inc.",27,23,United States,North America,56,2018,65,19,29,31,18,10,19,100,100,50,50,25,65,37.5,0,19,15,0,0,100,29,0,75,0,50,31,50,0,0,20,18,10,10,10,37.5,0,19,n/a,n/a
"Nintendo Co., Ltd.",25,24,Japan,Asia,53,2018,35,13,41,6,13,50,19,100,50,0,25,0,35,25,0,13,15,0,50,100,41,0,0,0,25,6,50,0,0,0,13,80,20,50,37.5,0,19,n/a,n/a
Tokyo Electron Limited,20,25,Japan,Asia,31,2018,50,6,38,31,13,0,0,100,100,25,0,25,50,12.5,0,6,0,50,0,100,38,0,75,0,50,31,50,0,0,0,13,0,0,0,0,0,0,n/a,n/a
"Murata Manufacturing Co., Ltd.",19,26,Japan,Asia,31,2016,54,0,38,19,5,5,13,100,70,50,25,25,54,0,0,0,0,50,50,50,38,0,50,25,0,19,0,0,0,20,5,10,0,5,25,0,13,16,21
SK Hynix Inc.,19,26,South Korea,Asia,49,2016,35,0,25,0,0,40,31,100,50,0,0,25,35,0,0,0,0,0,0,100,25,0,0,0,0,0,0,0,0,0,0,60,20,40,62.5,0,31,17,18
TE Connectivity Ltd.,17,28,Switzerland,Europe,36,2018,60,0,13,6,10,10,19,100,100,50,50,0,60,0,0,0,0,0,0,50,13,0,0,0,25,6,0,0,0,40,10,10,10,10,37.5,0,19,n/a,n/a
Canon Inc.,16,29,Japan,Asia,43,2016,42,25,38,0,5,0,0,100,60,25,25,0,42,50,0,25,0,100,0,50,38,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,18,12
Infineon Technologies AG,14,30,Germany,Europe,33,2018,38,0,38,0,8,5,13,100,40,25,25,0,38,0,0,0,0,50,0,100,38,0,0,0,0,0,0,0,0,30,8,10,0,5,25,0,13,n/a,n/a
HOYA Corporation,14,30,Japan,Asia,19,2018,47,0,25,0,5,5,13,100,60,25,50,0,47,0,0,0,0,0,0,100,25,0,0,0,0,0,0,0,0,20,5,10,0,5,0,25,13,n/a,n/a
Kyocera Corporation,13,32,Japan,Asia,24,2018,34,25,25,6,0,0,0,100,70,0,0,0,34,50,0,25,0,0,0,100,25,0,0,0,25,6,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
Lam Research Corporation,11,33,United States,North America,31,2018,34,19,13,0,0,5,6,50,20,25,50,25,34,37.5,0,19,0,50,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,5,12.5,0,6,n/a,n/a
Amphenol Corporation,9,34,United States,North America,28,2018,30,25,0,0,0,5,0,100,0,25,0,25,30,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,n/a,n/a
Keyence Corporation,7,35,Japan,Asia,74,2016,31,6,13,0,0,0,0,100,30,25,0,0,31,12.5,0,6,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Microchip Technology Incorporated,7,35,United States,North America,22,2018,10,25,13,0,0,0,0,50,0,0,0,0,10,50,0,25,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
Corning Incorporated,6,37,United States,North America,27,2018,31,0,0,0,0,0,13,100,30,0,25,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,n/a,n/a
Broadcom Inc.,6,37,United States,North America,102,2016,8,19,13,0,0,0,0,0,40,0,0,0,8,37.5,0,19,0,0,0,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33
BOE Technology Group Co. Ltd.,4,39,China,Asia,33,2016,5,0,16,0,0,5,0,0,0,0,25,0,5,0,0,0,15,50,0,0,16,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,19,4
"Largan Precision Co., Ltd.",0,40,Taiwan,Asia,18,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
